Nº OCORRENCIA;DATA DO FATO;HORA DO FATO;GRUPO DE INCIDENTE;TIPO DE INCIDENTE;UF;MUNICIPIO;BAIRRO;TIPO LOCAL
50013403;20/01/2023;06:06:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;SANTO ANTONIO;DomicIlio
50021738;21/01/2023;01:30:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ARACRUZ;CENTRO;Via PUblica
50021455;21/01/2023;00:43:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;MANTENOPOLIS;BELA VISTA;Via PUblica
50023371;21/01/2023;05:56:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;MANTENOPOLIS;SAO GERALDO;DomicIlio
50027989;21/01/2023;18:54:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PIUMA;NITEROI;Via PUblica
50030031;21/01/2023;23:48:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO GABRIEL DA PALHA;ASA BRANCA;Via PUblica
50030869;22/01/2023;00:33:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;SANTANA;Estabelecimento de SaUde
50038012;22/01/2023;21:47:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CASTELO;ARACUI;Estabelecimento Comercial
50037183;22/01/2023;20:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GOVERNADOR LINDENBERG;NOVA BRASILIA;Via PUblica
50037774;22/01/2023;00:33:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;VILLAGE DO SOL;Via PUblica
50038820;22/01/2023;23:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;JOCAFE I;Via PUblica
50044644;23/01/2023;16:51:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;MONTANHA;VINHATICO;Terreno Baldio / ConstruCAo / Mata
50041818;23/01/2023;11:12:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;CRISTAL DO NORTE;Via PUblica
50044939;23/01/2023;17:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO DOMINGOS DO NORTE;NITEROI;Via PUblica
50047618;23/01/2023;23:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;JOCKEY DE ITAPARICA;Mar
50045705;23/01/2023;18:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;OLARIA;Via PUblica
50042089;23/01/2023;18:09:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;VALE ENCANTADO;Via PUblica
50048293;24/01/2023;01:00:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;TERRA VERMELHA;Via PUblica
50060306;25/01/2023;11:47:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ARACRUZ;SAO JOSE;Estabelecimento Comercial
50074532;26/01/2023;23:02:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VIANA;IPANEMA;Via PUblica
50068393;26/01/2023;09:53:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ARIBIRI;Via PUblica
50070018;26/01/2023;13:15:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ULISSES GUIMARAES;Via PUblica
50083199;27/01/2023;20:48:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;SAO JOAO GRANDE;DomicIlio
50077579;27/01/2023;09:56:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;DOMINGOS MARTINS;BIRIRICAS;Via PUblica
50076822;27/01/2023;08:06:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;TAQUARA II;DomicIlio
50089861;28/01/2023;13:31:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;SAO JOSE;Via PUblica
50097367;29/01/2023;06:08:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;CARIACICA SEDE;DomicIlio
50103739;29/01/2023;23:12:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;NOVO HORIZONTE;Via PUblica
50096033;29/01/2023;01:43:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;MARATAIZES;CENTRO;Via PUblica
50103501;29/01/2023;22:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;NOVA VENECIA;ZONA RURAL;Via PUblica
50096120;29/01/2023;01:57:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;DIVINO ESPIRITO SANTO;Via PUblica
50107163;30/01/2023;11:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PRESIDENTE KENNEDY;CENTRO;Via PUblica
50107305;30/01/2023;11:41:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VARGEM ALTA;ALTO CASTELINHO;Estabelecimento Comercial
50107365;30/01/2023;11:17:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VARGEM ALTA;VILA MARIA;Via PUblica
50110629;30/01/2023;16:54:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;CRUZAMENTO;Via PUblica
49966837;31/01/2023;02:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;MUCURI;Via PUblica
50124930;01/02/2023;02:23:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;CIDADE DA BARRA;Via PUblica
50133565;01/02/2023;22:54:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;MARIO CYPRESTE;PraCa / Parques / Area PUblica
50135005;02/02/2023;07:06:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;NOVA ROSA DA PENHA;Via PUblica
50142934;02/02/2023;23:38:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PANCAS;CENTRO;PraCa / Parques / Area PUblica
50149393;03/02/2023;15:33:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;VILA PRUDENCIO;Via PUblica
50154254;04/02/2023;00:28:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ARACRUZ;GUARANA;Estabelecimento Comercial
50159177;04/02/2023;14:59:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BARRA DE SAO FRANCISCO;COLINA;DomicIlio
50156226;04/02/2023;08:02:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;FUNDAO;ZONA RURAL;Via PUblica
50155369;04/02/2023;03:24:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ITAGUACU;SANTA FE;DomicIlio
50160122;04/02/2023;16:55:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;GURIRI;Via PUblica
50152065;04/02/2023;11:14:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;BAIRRO DA PENHA;Via PUblica
50172128;05/02/2023;20:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;SAO MARCOS;Via PUblica
50172190;05/02/2023;20:23:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;ZONA RURAL;Via PUblica
50164479;05/02/2023;00:21:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PANCAS;CORREGO UBA;Via PUblica
50164479;05/02/2023;00:21:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PANCAS;CORREGO UBA;Via PUblica
50173704;05/02/2023;23:46:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;VILA NOVA DE COLARES;Via PUblica
50169658;05/02/2023;15:20:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;NOVA PALESTINA;Via PUblica
50178360;06/02/2023;23:56:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CASTELO;SAO MIGUEL;DomicIlio
50180193;06/02/2023;16:51:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;ELZA NADER;Terreno Baldio / ConstruCAo / Mata
50178906;06/02/2023;14:49:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ILHA DA CONCEICAO;Via PUblica
50186928;07/02/2023;10:02:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;OPERARIO;Via PUblica
50188106;07/02/2023;11:57:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;VILA CAPIXABA;Via PUblica
50187111;07/02/2023;10:14:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;PORTO DOURADO;Via PUblica
50187517;07/02/2023;10:59:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SOORETAMA;SAYONARA;Terreno Baldio / ConstruCAo / Mata
50194816;08/02/2023;02:00:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;ALTO AMARELO;Via PUblica
50212688;09/02/2023;18:19:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;RECANTO;Via PUblica
